"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-39941-1-ND","BQ27441DRZR-G1A","IC BATT FUEL GAUGE LI-ION 12SON","","1","0","2.70000","2.70"
"2","1","296-44196-1-ND","BQ21040DBVT","IC BATT CHG LI-ION 1CELL SOT23-6","","0","1","1.45000","1.45"
"3","3","RMCF0805FT10K0CT-ND","RMCF0805FT10K0","RES 10K OHM 1% 1/8W 0805","","3","0","0.10000","0.30"
"4","2","RMCF0805FT470RCT-ND","RMCF0805FT470R","RES 470 OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"5","2","RMCF0805FT4K70CT-ND","RMCF0805FT4K70","RES 4.7K OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"6","1","311-0.01SCT-ND","RL0805FR-070R01L","RES 0.01 OHM 1% 1/8W 0805","","1","0","0.60000","0.60"
"7","1","732-2707-1-ND","620302124022","CONN HEADER SMD 2POS 2MM","","1","0","1.06000","1.06"
"8","1","732-5960-1-ND","629105150521","CONN RCPT USB2.0 MICRO B SMD R/A","","1","0","2.07000","2.07"
"9","1","516-1434-1-ND","HSMG-C170","LED GREEN DIFFUSED CHIP SMD","","1","0","0.37000","0.37"
"10","1","160-1415-1-ND","LTST-C170KRKT","LED RED CLEAR SMD","","1","0","0.31000","0.31"
"11","1","399-9247-1-ND","C0805C474K8RACTU","CAP CER 0.47UF 10V X7R 0805","","1","0","0.18000","0.18"
"12","1","399-6997-1-ND","C0805X105K8RACAUTO","CAP CER 1UF 10V X7R 0805","","1","0","0.85000","0.85"